ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source
GGAA,36,2022-10-11,2022-11-15,742360,,
COCH,36,2023-08-01,2023-09-05,736753,,
WAVC,36,2022-03-08,2022-04-12,673221,,
SPTK,36,2022-05-13,2022-06-17,645034,,
TWCB,36,2022-01-28,2022-03-04,587668,,
PLMI,36,2024-04-10,2024-05-15,580745,,
TLSI,36,2023-01-25,2023-03-01,543958,,
ISRL,36,2025-03-20,2025-04-24,443925,,
GACQ,36,2022-07-05,2022-08-09,350740,,
OCEA,35,2022-02-03,2022-03-09,5844481,,
SLAM,35,2023-09-22,2023-10-26,1451912,,
PRPC,35,2023-06-23,2023-07-27,1046700,,
TDAC,35,2025-07-24,2025-08-27,1013884,,
RNER,35,2022-07-20,2022-08-23,908638,,
KVAC,35,2024-11-22,2024-12-26,734238,,
GEEX,35,2022-09-29,2022-11-02,729482,,
TBSA,35,2022-11-15,2022-12-19,697428,,
ZT,35,2022-06-23,2022-07-27,593267,,
IBER,35,2022-01-20,2022-02-23,572666,,
CAPN,35,2025-07-18,2025-08-21,310310,,
VERY,35,2022-07-14,2022-08-17,37010,,
USBC,34,2025-01-30,2025-03-04,1364042,,
SBII,34,2022-05-11,2022-06-13,856023,,
DALS,34,2022-05-11,2022-06-13,846039,,
APTM,34,2022-05-11,2022-06-13,523244,,
HPH,34,2023-07-26,2023-08-28,156587,,
MTEX,34,2024-05-16,2024-06-18,86466,,
GRRR,33,2022-10-24,2022-11-25,17989769,,
GGMC,33,2022-03-11,2022-04-12,1435349,,
TMAC,33,2022-03-11,2022-04-12,1101004,,
JUN,33,2023-05-25,2023-06-26,951404,,
BYU,33,2024-09-06,2024-10-08,714066,,
CHEB,33,2025-01-03,2025-02-04,684693,,
GIW,33,2022-04-25,2022-05-27,325372,,
NYAX,33,2023-04-24,2023-05-26,276624,,
EVOJ,33,2022-04-04,2022-05-06,232199,,
BEDU,33,2025-07-24,2025-08-25,28873,,
EDNC,32,2022-04-05,2022-05-06,2214954,,
IACC,32,2022-02-08,2022-03-11,1387633,,
RKTA,32,2022-05-06,2022-06-06,1062253,,
HMA,32,2022-05-03,2022-06-03,864640,,
GOGN,32,2022-01-28,2022-02-28,832702,,
RGC,31,2022-10-03,2022-11-02,4918955,,
SVII,31,2025-04-22,2025-05-22,956761,,
MCAA,31,2023-09-25,2023-10-25,890462,,
DHBC,31,2022-08-29,2022-09-28,737372,,
KRNL,31,2024-03-12,2024-04-11,552128,,
BOWN,31,2024-07-15,2024-08-14,485616,,
BWAC,31,2023-04-03,2023-05-03,434256,,
OXUS,31,2023-04-17,2023-05-17,365023,,
OXAC,31,2023-01-24,2023-02-23,322925,,
LIEN,31,2022-07-05,2022-08-04,131984,,
HFBL,31,2023-01-30,2023-03-01,49458,,
CNNB,31,2022-07-06,2022-08-05,45324,,
IDBA,31,2022-06-01,2022-07-01,21934,,
BTM,30,2022-05-16,2022-06-14,1803321,,
TIOA,30,2022-04-28,2022-05-27,1406426,,
AHRN,30,2022-09-29,2022-10-28,1377857,,
NIR,30,2022-07-27,2022-08-25,936071,,
SHAP,30,2022-04-26,2022-05-25,903726,,
SCUA,30,2022-10-06,2022-11-04,892998,,
AXAC,30,2023-04-06,2023-05-05,874652,,
CTGO,30,2022-07-14,2022-08-12,866578,,
MACI,30,2024-12-18,2025-01-16,744086,,
SHAC,30,2022-05-11,2022-06-09,589793,,
ORIA,30,2022-04-07,2022-05-06,537048,,
GLTA,30,2022-09-20,2022-10-19,508971,,
TAVI,30,2025-07-30,2025-08-28,473485,,
ELSE,30,2024-07-01,2024-07-30,38413,,
MBAC,29,2023-04-21,2023-05-19,1175051,,
WNNR,29,2022-11-18,2022-12-16,1125631,,
SIMA,29,2025-07-10,2025-08-07,988344,,
BSAQ,29,2022-01-13,2022-02-10,984559,,
TWLV,29,2023-08-04,2023-09-01,781733,,
CFIV,29,2023-08-04,2023-09-01,723372,,
WTG,29,2025-08-06,2025-09-03,721469,,
CPTK,29,2023-04-04,2023-05-02,684054,,
IROH,29,2025-04-23,2025-05-21,550439,,
BNNR,29,2022-08-03,2022-08-31,524282,,
FATP,29,2022-09-16,2022-10-14,462305,,
