ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
ACCS,47,2016-01-21,2016-03-07,192771,,,,
LSBK,47,2015-03-05,2015-04-20,60068,,,,
THBR,46,2020-04-20,2020-06-04,8538620,,,,
DUO,46,2020-04-24,2020-06-08,3066733,,,,
TRIS,46,2024-03-25,2024-05-09,1141751,,,,
USCT,46,2023-09-19,2023-11-03,832257,,,,
SKYA,46,2022-04-18,2022-06-02,760373,,,,
ARTE,46,2021-12-14,2022-01-28,724773,,,,
TBCP,46,2023-10-16,2023-11-30,668703,,,,
MLAI,46,2022-03-07,2022-04-21,619565,,,,
CBRG,46,2022-07-19,2022-09-02,603770,,,,
SCPX,46,2024-06-17,2024-08-01,402542,,,,
IAM,46,2017-12-26,2018-02-09,258889,,,,
SSSSL,46,2023-09-05,2023-10-20,144977,,,,
IDBA,46,2021-07-27,2021-09-10,27303,,,,
BZAI,45,2023-09-11,2023-10-25,2081944,,,,
LGC,45,2017-12-18,2018-01-31,1066826,,,,
ICNC,45,2022-08-10,2022-09-23,909144,,,,
TENK,45,2023-09-27,2023-11-10,821936,,,,
BGI,45,2015-06-03,2015-07-17,478963,,,,
IPVF,45,2023-09-25,2023-11-08,442050,,,,
OSI,45,2022-09-07,2022-10-21,260949,,,,
IRCP,45,2015-09-23,2015-11-06,254991,,,,
UCBA,45,2016-07-20,2016-09-02,130018,,,,
AKO.A,45,2019-06-24,2019-08-07,61210,,,,
AI,44,2020-10-26,2020-12-08,115342971,,,2020-12-08,2
