ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
OAKU,91,2025-04-23,2025-07-22,421505,,,,
SPK,91,2022-02-22,2022-05-23,215167,,,,
PPHP,91,2024-01-18,2024-04-17,142949,,,,
SPN,89,2019-09-27,2019-12-24,35992033,,,,
ABP,89,2024-04-18,2024-07-15,1074218,,,,
PCCT,89,2023-07-03,2023-09-29,789804,,,,
CNGL,89,2024-02-15,2024-05-13,565959,,,,
REVE,89,2022-08-22,2022-11-18,470535,,,,
AGN,88,2015-03-17,2015-06-12,674974705,,,,
NETC,88,2023-08-25,2023-11-20,972936,,,,
ITAQ,88,2022-05-10,2022-08-05,382112,,,,
GLLI,88,2022-04-12,2022-07-08,357124,,,,
MCAG,88,2024-01-23,2024-04-19,195171,,,,
MGYR,88,2019-11-18,2020-02-13,52644,,,,
NSEC,88,2020-12-21,2021-03-18,45857,,,,
LACQ,87,2018-03-28,2018-06-22,654068,,,,
SEDA,87,2022-04-12,2022-07-07,619895,,,,
SGHL,87,2022-06-07,2022-09-01,409779,,,,
FORTY,87,2019-01-15,2019-04-11,145031,,,,
WLYB,87,2022-04-06,2022-07-01,34398,,,,
SBDS,86,2025-04-23,2025-07-17,2695690,,,,
ZVSA,86,2022-03-23,2022-06-16,1707847,,,,
WRAC,86,2022-06-02,2022-08-26,760462,,,,
ESLA,86,2022-06-08,2022-09-01,668932,,,,
SCAQ,86,2021-07-27,2021-10-20,665212,,,,
HWKZ,86,2022-01-04,2022-03-30,653711,,,,
AEAE,86,2024-08-08,2024-11-01,529129,,,,
DIST,86,2024-11-11,2025-02-04,347199,,,,
ASCA,86,2023-04-24,2023-07-18,259141,,,,
RDAC,86,2025-07-07,2025-09-30,251317,,,,
RVEN,86,2017-02-14,2017-05-10,20286,,,,
ADAL,85,2022-04-29,2022-07-22,1289815,,,,
TIBR,85,2018-05-25,2018-08-17,1025200,,,,
DYCQ,85,2025-04-16,2025-07-09,535925,,,,
IXAQ,85,2024-01-03,2024-03-27,512899,,,,
PHMD,85,2017-07-07,2017-09-29,296469,,,,
OFSSH,85,2023-04-13,2023-07-06,72813,,,,
CKX,85,2021-09-16,2021-12-09,52583,,,,
NKGN,84,2022-03-30,2022-06-21,1415344,,,,
GRNV,84,2020-02-27,2020-05-20,632811,,,,
PMGM,84,2023-09-21,2023-12-13,544329,,,,
DOTA,84,2018-02-15,2018-05-09,465202,,,,
BSLK,83,2024-02-23,2024-05-15,7279936,,,,
DSAQ,83,2023-07-20,2023-10-10,895715,,,,
MEOA,83,2023-02-16,2023-05-09,616440,,,,
NEN,83,2016-10-06,2016-12-27,103873,,,,
KLTO,82,2022-06-03,2022-08-23,6963478,,,,
DMYY,82,2022-12-08,2023-02-27,561345,,,,
TMSR,82,2018-03-19,2018-06-08,208045,,,,
DEAC,81,2019-07-26,2019-10-14,21397828,,,,
SUNE,81,2023-11-14,2024-02-02,6879841,,,,
GPAQ,81,2018-11-27,2019-02-15,1093731,,,,
YECO,81,2017-07-11,2017-09-29,1086334,,,,
TZAC,81,2019-04-22,2019-07-11,409525,,,,
VRM,80,2024-12-02,2025-02-19,30830315,,,,
CMCA,80,2024-03-12,2024-05-30,950632,,,,
ORIA,80,2021-10-27,2022-01-14,468725,,,,
GOBI,80,2022-04-04,2022-06-22,166380,,,,
CNFRZ,80,2024-01-02,2024-03-21,48361,,,,
ROCC,79,2021-07-29,2021-10-15,12641597,,,,
STNL,79,2018-04-24,2018-07-11,2112548,,,,
PWUP,79,2024-10-28,2025-01-14,668578,,,,
ARBG,79,2023-05-04,2023-07-21,482390,,,,
FSHP,79,2025-04-01,2025-06-18,317235,,,,
NOEM,79,2025-06-24,2025-09-10,316851,,,,
ADOC,79,2023-11-02,2024-01-19,257543,,,,
MBTC,79,2023-09-14,2023-12-01,210357,,,,
WEBK,79,2015-08-03,2015-10-20,100793,,,,
QADB,79,2020-03-17,2020-06-03,91620,,,,
